lsoa,mean_household_income,energy efficiency,fuel poverty,year_built,heating score,ownership score
E01000398,35062,58.111111111111114,13.5,1982,123.0782533506269,88.27895095367846
E01000399,42348,58.27272727272727,12.4,1939,125.48811067877216,90.96219346049044
E01000400,38707,60.625418060200666,10.6,1939,119.12797233030696,86.16212534059946
E01000401,34655,57.0974358974359,14.7,1929,127.91309987029832,89.77452316076295
E01000402,35911,64.82494529540482,10.3,1992,132.7323821876351,91.98024523160764
E01000403,32832,71.61111111111111,9.6,2009,197.21703415477737,133.61716621253404
E01000404,32159,70.89516957862281,11.8,1999,187.43104193687853,126.71934604904632
E01000407,37671,58.76011560693642,10.3,1982,126.59619541720708,93.06880108991828
E01000409,44642,52.513392857142854,13.3,1939,131.82014699524424,96.4734332425068
E01000410,44514,56.60504201680672,8.0,1939,120.38305231301342,87.61376021798365
E01000411,41950,54.94146341463415,8.6,1939,111.2926934716818,81.65701634877385
E01000412,45237,55.390946502057616,10.3,1939,127.65110246433204,92.36716621253406
E01000413,38873,59.81944444444444,9.1,1939,102.28015564202336,73.63964577656674
E01000414,37632,61.62846580406654,9.0,1939,135.45525291828793,97.34230245231606
E01000415,51273,54.3,11.8,1939,104.06398616515348,77.13453678474114
E01000416,33674,59.1541095890411,8.4,1972,103.61521833117165,72.64441416893733
E01000417,38058,62.17333333333333,7.2,1939,143.0696065715521,101.68562670299728
E01000418,34618,62.08759124087591,8.8,1992,149.72114137483788,105.97786103542234
E01000419,43959,55.786096256684495,11.0,1939,120.26502377864246,89.74659400544961
E01000420,44915,57.51515151515152,7.8,1939,122.31387808041504,89.80858310626704
E01000421,45222,54.35428571428571,7.2,1939,122.80458279290964,91.90599455040872
E01000422,25888,64.82642998027613,9.9,1972,134.7488110678772,89.77554495912806
E01000423,55948,53.99528301886792,7.2,1939,123.80587980977086,91.06948228882834
E01000424,56227,54.9175704989154,11.0,1972,153.31863380890618,112.65429155313352
E01000425,56524,54.906976744186046,10.6,1939,120.4115866839602,88.97002724795642
E01000427,39953,64.81692307692308,12.0,1972,185.63424124513617,134.6008174386921
E01000428,36887,66.92297979797979,9.8,1972,175.7315175097276,121.18528610354224
E01000429,28509,65.29746835443038,8.8,1999,142.20319930825767,96.28440054495913
E01000430,35759,63.21713147410359,11.3,1999,135.70211846087332,94.5732288828338
E01000431,28038,63.69204152249135,10.8,1972,135.28447903156075,93.60524523160764
E01000433,28836,67.10327022375215,9.9,1954,144.0272373540856,100.87363760217984
E01000434,28181,68.32451923076923,7.6,1999,118.86683960224816,80.68937329700273
E01000435,31741,65.67326732673267,10.5,1939,120.31733679204496,84.19073569482288
E01000436,52193,54.84615384615385,10.6,1939,125.12970168612192,92.00476839237056
E01000437,40959,58.069148936170215,9.4,1939,101.45784695201036,73.31369209809264
E01000438,37492,57.41860465116279,8.6,1939,121.12451361867704,86.84570844686647
E01000440,45795,54.67088607594937,8.8,1939,105.0012970168612,77.80756130790192
E01000441,33798,64.23340040241449,8.3,1999,134.83614353653266,94.3215258855586
E01000442,39638,57.774809160305345,7.5,1939,126.6083009079118,92.65361035422342
E01000443,41117,61.4,12.4,1939,102.6385646346736,73.99931880108993
E01000444,65074,56.66798418972332,11.2,1939,127.36748811067876,94.1301089918256
E01000445,53655,56.3130081300813,10.6,1939,139.87332468655424,103.49284741144412
E01000446,46708,59.05957446808511,11.3,1939,122.30479896238651,87.88521798365122
E01000448,65916,54.25882352941176,12.1,1939,102.58625162127107,76.58685286103542
E01000449,63113,63.143695014662754,12.1,1992,131.22438391699092,97.62397820163488
E01000450,37551,60.201634877384194,9.1,1939,130.7150886294855,92.65361035422342
E01000451,44202,57.217898832684824,7.8,1939,125.62862083873758,91.53269754768394
E01000452,46724,58.721311475409834,8.2,1939,100.70990056204064,72.4625340599455
E01000453,45063,58.578125,6.0,1939,103.92001729355816,75.66042234332424
E01000454,35957,60.9972602739726,9.5,1939,126.95244271508864,90.23944141689374
E01000455,45778,54.195454545454545,11.0,1939,122.49848681366193,89.53950953678475
E01000456,44410,54.67549668874173,9.6,1939,99.2883700821444,72.55619891008175
E01000457,42550,62.9680196801968,11.4,1972,165.51145698227413,115.76260217983652
E01000458,58496,61.063091482649845,6.8,1939,127.83268482490271,93.85967302452318
E01000459,42908,67.6747311827957,11.9,1972,156.40942498919154,111.97207084468666
E01000460,66601,58.62380952380953,5.7,1992,100.73929961089492,73.72138964577657
E01000461,55590,54.625,4.8,1939,116.18244703847814,84.95844686648502
E01000462,40641,66.23141654978963,7.0,1939,148.15175097276264,104.6198910081744
E01000463,52090,58.62676056338028,11.1,1939,91.57328145265888,66.79938692098094
E01000464,27524,61.06802721088435,16.5,1982,108.32728058798097,73.93392370572207
